  PID  PPID  %CPU COMM
    1     0   0.0 /sbin/launchd
  323     1   0.0 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/Resources/Python.app/Contents/MacOS/Python
  324 57399   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/153.0.8010.48/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
  330 57399   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/153.0.8010.48/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
  340     1   0.0 /usr/libexec/logd
  341     1   0.0 /usr/libexec/smd
  342     1   0.0 /usr/libexec/UserEventAgent
  344     1   0.4 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  345     1   0.0 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  348     1   0.0 /usr/sbin/systemstats
  350     1   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd
  351     1   0.0 /usr/libexec/uarpassetmanagerd
  352     1   0.0 /usr/libexec/configd
  353     1   0.0 endpointsecurityd
  354     1   0.0 /System/Library/CoreServices/powerd.bundle/powerd
  355     1   0.0 /usr/libexec/IOMFB_bics_daemon
  357     1   0.0 /usr/libexec/amfid
  359     1   0.0 /usr/libexec/remoted
  361     1   0.0 /usr/libexec/keybagd
  362     1   0.0 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  363     1   0.0 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  365     1   0.0 /usr/libexec/watchdogd
  369     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  370     1   0.0 /System/Library/CoreServices/iconservicesd
  371     1   0.0 /usr/libexec/kernelmanagerd
  372     1   0.0 /usr/libexec/diskarbitrationd
  375     1   0.0 /usr/libexec/coreduetd
  376     1   0.0 /usr/sbin/syslogd
  378     1   0.0 /usr/libexec/thermalmonitord
  379     1   0.0 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  380     1   0.0 /usr/libexec/xprotectd
  381     1   0.0 /usr/libexec/opendirectoryd
  382     1   0.0 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  383     1   0.0 /System/Library/CoreServices/launchservicesd
  384     1   0.0 /usr/libexec/timed
  385     1   0.0 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  386     1   0.2 /usr/sbin/securityd
  388     1   0.1 /usr/libexec/locationd
  389     1   0.0 /usr/libexec/nesessionmanager
  391     1   0.0 autofsd
  392     1   0.0 /usr/libexec/dasd
  393     1   0.0 /usr/libexec/corerepaird
  395     1   0.0 /usr/sbin/distnoted
  396     1   0.0 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  399     1   0.0 /System/Library/CoreServices/logind
  400     1   0.0 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  401     1   0.0 /usr/sbin/KernelEventAgent
  403     1   0.0 /usr/libexec/usermanagerd
  405     1   0.0 /usr/sbin/bluetoothd
  406     1   0.0 /usr/sbin/notifyd
  407     1   0.0 /usr/libexec/sandboxd
  408     1   0.0 /usr/libexec/corebrightnessd
  409     1   0.0 /usr/libexec/AirPlayXPCHelper
  410     1   0.0 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  412     1   0.0 /usr/libexec/logd_helper
  414     1   0.0 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  415     1   0.0 /usr/sbin/cfprefsd
  418     1   0.0 /usr/libexec/powerexperienced
  419     1   0.0 /System/Library/CoreServices/coreservicesd
  420     1   0.2 /usr/libexec/runningboardd
  421     1   0.0 /System/Library/CoreServices/TimeMachine/backupd-helper
  422     1   0.0 /usr/libexec/PowerUIAgent
  423     1   0.0 /usr/sbin/coreaudiod
  426     1   0.0 /usr/libexec/trustdFileHelper
  427     1   0.0 /usr/sbin/mDNSResponder
  428     1   0.0 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
  429     1   0.0 /usr/libexec/apfsd
  430     1   0.0 /usr/libexec/nsurlsessiond
  431     1   0.0 /usr/libexec/nehelper
  432     1   0.0 /usr/libexec/centaurid
  433     1   0.0 /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd
  434     1   0.0 /usr/libexec/lsd
  435     1   0.0 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  436     1   0.0 /usr/libexec/biometrickitd
  437     1   0.0 /usr/libexec/mobileassetd
  439     1   0.1 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
  442     1   0.0 /usr/libexec/eligibilityd
  447     1   0.0 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  449     1   0.0 /usr/libexec/ApplicationFirewall/socketfilterfw
  450     1   0.0 /usr/sbin/distnoted
  451     1   0.0 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd
  453     1   0.0 /usr/sbin/distnoted
  456     1   0.0 /usr/libexec/symptomsd
  481     1   0.0 /usr/sbin/distnoted
  483     1   0.0 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  495     1   0.0 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  497     1   0.0 /usr/libexec/cameracaptured
  498     1   0.0 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  502     1   0.0 /usr/libexec/airportd
  505     1   0.0 /usr/sbin/mDNSResponderHelper
  506     1   0.0 /usr/sbin/distnoted
  510     1   0.0 /usr/libexec/syspolicyd
  512     1   0.0 /usr/libexec/findmydeviced
  514     1   0.0 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  522     1   0.0 /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
  527     1   0.0 /usr/sbin/appleh16camerad
  529     1   0.0 /System/Library/CoreServices/TimeMachine/backupd
  530     1   0.0 /usr/libexec/securityd_system
  531     1   0.0 Core Audio Driver (LoomAudioDevice.driver)
  532     1   0.0 /usr/libexec/triald_system
  536     1   0.0 /usr/libexec/audiomxd
  538     1   0.0 /usr/sbin/WirelessRadioManagerd
  539     1   0.0 /usr/libexec/mobileactivationd
  540     1   0.0 /usr/libexec/findmybeaconingd
  541     1   0.0 /usr/libexec/audioclocksyncd
  542     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  544     1   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  547     1   0.0 /usr/libexec/modelmanagerd
  548     1   0.0 /usr/sbin/cfprefsd
  551     1   0.0 /usr/libexec/audioanalyticsd
  554     1   0.0 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
  556     1   0.0 /usr/libexec/aneuserd
  557     1   0.0 /usr/libexec/aned
  558     1   0.0 /usr/libexec/online-auth-agent
  560     1   0.0 /System/Library/CoreServices/appleeventsd
  562     1   0.0 /usr/libexec/symptomsd-diag
  563     1   0.0 /usr/sbin/distnoted
  569     1   0.0 /usr/sbin/distnoted
  570     1   0.0 /System/Library/CoreServices/osanalyticshelper
  574     1   0.0 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  575     1   0.0 /usr/sbin/distnoted
  576     1   0.0 /usr/libexec/rtcreportingd
  578     1   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
  579     1   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
  581     1   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
  583     1   0.0 /usr/sbin/distnoted
  585     1   0.0 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  588     1   0.0 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  590     1   0.0 /System/Library/CoreServices/SubmitDiagInfo
  596     1   0.0 /Library/PrivilegedHelperTools/com.docker.vmnetd
  598     1   0.0 /usr/sbin/distnoted
  599     1   0.0 /usr/libexec/cryptexd
  600     1   0.0 /usr/libexec/storagekitd
  601     1   0.0 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  602     1   0.0 Core Audio Driver (ParrotAudioPlugin.driver)
  607     1   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  609     1   0.0 /usr/sbin/distnoted
  611     1   0.0 /usr/libexec/searchpartyd
  613     1   0.0 /usr/sbin/cfprefsd
  616     1   0.0 /usr/libexec/sysmond
  618   348   0.0 /usr/sbin/systemstats
  619     1   0.0 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  624     1   0.0 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  632     1   0.0 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  635     1   0.0 /usr/sbin/distnoted
  636     1   0.0 /usr/libexec/nfcd
  637     1   0.0 /usr/libexec/secd
  638     1   0.0 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  639     1   1.2 /usr/sbin/cfprefsd
  642     1   0.0 /usr/libexec/seld
  654     1   0.0 /usr/libexec/containermanagerd
  656     1   0.0 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  658     1   0.0 /usr/libexec/lsd
  673     1   0.0 /usr/libexec/secinitd
  677     1   0.0 /usr/sbin/distnoted
  687     1   0.0 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  695     1   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  696     1   0.0 /usr/libexec/ospredictiond
  700     1   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  701     1   0.0 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  702     1   0.0 /usr/libexec/pkd
  703     1   0.4 /System/Library/DriverExtensions/AppleCentauriAlpha.dext/AppleCentauriAlpha
  704     1   0.0 /System/Library/DriverExtensions/AppleCentauriControl.dext/AppleCentauriControl
  705     1   0.0 /System/Library/DriverExtensions/AppleCentauriBeta.dext/AppleCentauriBeta
  707     1   0.0 /usr/sbin/distnoted
  727     1   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  735     1   0.0 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
  746     1   0.0 /usr/sbin/filecoordinationd
  747     1   0.0 automountd
  762     1   0.0 /usr/sbin/systemsoundserverd
  770     1   0.0 /usr/libexec/wifip2pd
  779     1   0.0 /usr/libexec/rosetta/oahd
  787     1   0.0 /usr/libexec/nearbyd
  832     1   0.0 /System/Library/PrivateFrameworks/DiskImages.framework/Resources/hdiejectd
 1102     1   0.0 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
 1175     1   0.0 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
 1179     1   0.0 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
 1215     1   0.0 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
 1270     1   0.0 /usr/libexec/AssetCache/AssetCache
 1274     1   0.0 /System/Library/PrivateFrameworks/CoreADI.framework/adid
 1275     1   0.0 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
 1278     1   0.0 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
 1284     1   0.0 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
 1308     1   0.0 /usr/libexec/wifianalyticsd
 1323     1   0.0 /usr/sbin/distnoted
 1344     1   0.0 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
 1348     1   0.0 /usr/libexec/assetsubscriptiond
 1353     1   0.0 /usr/sbin/distnoted
 1354     1   0.0 /usr/libexec/captiveagent
 1355     1   0.0 /usr/sbin/netbiosd
 1381     1   0.0 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
 1382     1   0.0 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
 1383     1   0.0 /usr/sbin/distnoted
 1384     1   0.0 /usr/libexec/countryd
 1385     1   0.0 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService
 1386     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
 1399     1   0.0 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
 1400     1   0.0 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
